Tache,TD-1_L_Matin,TD-1_L_Aprem,TD-1_Ma_Matin,TD-1_Ma_Aprem,TD-1_Me_Matin,TD-1_Me_Aprem,TD-1_J_Matin,TD-1_J_Aprem,TD-1_V_Matin,TD-1_V_Aprem,TD-1_S_Matin,TD-1_S_Aprem,TD-2_L_Matin,TD-2_L_Aprem,TD-2_Ma_Matin,TD-2_Ma_Aprem,TD-2_Me_Matin,TD-2_Me_Aprem,TD-2_J_Matin,TD-2_J_Aprem,TD-2_V_Matin,TD-2_V_Aprem,TD-2_S_Matin,TD-2_S_Aprem,TD-3_L_Matin,TD-3_L_Aprem,TD-3_Ma_Matin,TD-3_Ma_Aprem,TD-3_Me_Matin,TD-3_Me_Aprem,TD-3_J_Matin,TD-3_J_Aprem,TD-3_V_Matin,TD-3_V_Aprem,TD-3_S_Matin,TD-3_S_Aprem,TD-4_L_Matin,TD-4_L_Aprem,TD-4_Ma_Matin,TD-4_Ma_Aprem,TD-4_Me_Matin,TD-4_Me_Aprem,TD-4_J_Matin,TD-4_J_Aprem,TD-4_V_Matin,TD-4_V_Aprem,TD-4_S_Matin,TD-4_S_Aprem,SALLE-60_L_Matin,SALLE-60_L_Aprem,SALLE-60_Ma_Matin,SALLE-60_Ma_Aprem,SALLE-60_Me_Matin,SALLE-60_Me_Aprem,SALLE-60_J_Matin,SALLE-60_J_Aprem,SALLE-60_V_Matin,SALLE-60_V_Aprem,SALLE-60_S_Matin,SALLE-60_S_Aprem,AMPHI-100_L_Matin,AMPHI-100_L_Aprem,AMPHI-100_Ma_Matin,AMPHI-100_Ma_Aprem,AMPHI-100_Me_Matin,AMPHI-100_Me_Aprem,AMPHI-100_J_Matin,AMPHI-100_J_Aprem,AMPHI-100_V_Matin,AMPHI-100_V_Aprem,AMPHI-100_S_Matin,AMPHI-100_S_Aprem,AMPHI-200_L_Matin,AMPHI-200_L_Aprem,AMPHI-200_Ma_Matin,AMPHI-200_Ma_Aprem,AMPHI-200_Me_Matin,AMPHI-200_Me_Aprem,AMPHI-200_J_Matin,AMPHI-200_J_Aprem,AMPHI-200_V_Matin,AMPHI-200_V_Aprem,AMPHI-200_S_Matin,AMPHI-200_S_Aprem
ENSTP-L1_Maths_I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.536468,2.964192,5.705940,4.263319,5.867968,4.245083,5.821794,4.189388,6.000000,5.880600,5.763576,5.265126,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L1_Phys_I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.648881,5.880600,4.574056,5.729356,5.536468,5.705940,5.592392,3.250110,4.586804,6.000000,5.160350,4.438202,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L1_RDM_I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.880600,3.076123,4.602552,5.832563,2.630676,5.940000,5.763576,5.212475,4.178479,3.973692,5.705940,4.714069,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.411300,1.328711
ENSTP-L1_Topo_I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.335691,4.574056,4.394749,5.481103,4.397819,5.880600,5.940000,6.000000,5.108747,5.536468,4.220686,5.705940,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L1_DI_I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.160350,4.809784,5.763576,5.821794,5.519555,4.481348,5.536468,5.108747,5.880600,4.438202,5.940000,4.412244,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L3_Maths_III,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.858367,5.648881,5.007083,5.821794,4.653292,4.322896,6.000000,5.705940,5.481103,5.940000,5.160350,5.763576,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L3_Phys_III,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.907442,5.128076,5.181526,6.000000,5.940000,5.648881,4.018201,5.265126,5.880600,5.007083,5.592392,4.263319,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L3_RDM_III,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.157388,5.880600,5.265126,4.907442,3.703741,5.592392,5.536468,6.000000,5.821794,5.648881,5.108747,5.160350,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L3_Projet_Construction,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.592392,5.007083,5.940000,5.212475,6.000000,5.318309,5.527021,4.714069,5.160350,5.426292,3.452128,5.880600,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
ENSTP-L3_Urbanisme,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.367732,4.263319,4.506851,5.481103,4.483033,5.940000,3.791706,5.880600,5.007083,5.763576,5.057659,5.705940,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711,1.328711
